EmployeeKey|FirstName|LastName|MiddleName|Title|HireDate|BirthDate|EmailAddress|Phone|MaritalStatus|EmergencyContactName|EmergencyContactPhone|SalariedFlag|Gender|PayFrequency|BaseRate|VacationHours|SalesPersonFlag|DepartmentName|StartDate|EndDate|StoreKey
20|Rene|Valdes||Sales State Manager|1998-04-18|1946-09-08|john0@contoso.com|435-555-0113|M|Szabolcs Vajda|435-555-0113|0|M|2|55.0|40|0|Production|1998-04-18||110
21|Michael|Allen||Sales State Manager|1998-04-29|1946-04-30|diane0@contoso.com|202-555-0151|M|Gilead Almosnino|202-555-0151|0|F|2|55.0|40|0|Production|1998-04-29||76
22|Rohinton|Wadia||Sales State Manager|1999-01-02|1967-06-15|steven0@contoso.com|925-555-0114|M|Roland Wacker|925-555-0114|0|M|2|55.0|40|0|Production|1999-01-02||205
23|Luis|Alverca||Sales State Manager|1999-01-02|1972-12-04|peter0@contoso.com|913-555-0196|M|James Alvord|913-555-0196|1|M|2|55.0|40|0|Production Control|1999-01-02||308
24|Ming-Yang|Xie||Sales Store Manager|1999-01-03|1952-10-14|stuart0@contoso.com|413-555-0136|S|Stig Panduro|413-555-0136|0|M|2|25.0|40|0|Production|1999-01-03||182
25|Antonio|Alwan||Sales Store Manager|1999-01-03|1960-11-18|greg0@contoso.com|332-555-0150|S|Kamil Amireh|332-555-0150|0|M|2|25.0|40|0|Production|1999-01-03||139
26|David|Yalovsky||Sales State Manager|1999-01-03|1969-12-03|david1@contoso.com|166-555-0162|S|Shmuel Yair|166-555-0162|0|M|2|55.0|40|0|Production|1999-01-03||1
27|Oleg|Anashkin||Sales State Manager|1999-01-04|1973-11-26|zheng0@contoso.com|113-555-0173|S|Thomas Andersen|113-555-0173|0|M|2|55.0|40|0|Production|1999-01-04||2
28|Marko|Zajc||Sales State Manager|1999-01-05|1972-02-04|ivo0@contoso.com|115-555-0179|M|Eugene Zabokritski|115-555-0179|0|M|2|55.0|40|0|Production|1999-01-05||130
29|Christen|Anderson||Sales State Manager|1999-01-05|1970-12-15|paul0@contoso.com|147-555-0160|S|Nancy Anderson|147-555-0160|0|M|2|55.0|40|0|Production|1999-01-05||31
30|Mike|Nash||Sales State Manager|1999-01-05|1967-04-28|ashvini0@contoso.com|656-555-0119|S|Ranjith Narayanan|656-555-0119|0|M|2|55.0|40|0|Information Services|1999-01-05||187
31|Diogo|Andrade||Sales State Manager|1999-01-06|1976-06-30|kendall0@contoso.com|138-555-0128|M|Joe Andreshak|138-555-0128|0|M|2|55.0|40|0|Production|1999-01-06||62
32|Aneta|Olecka||Sales State Manager|1999-01-07|1966-03-14|paula0@contoso.com|523-555-0175|M|Preeda Ola|523-555-0175|1|F|2|55.0|40|0|Human Resources|1999-01-07||281
33|Ben|Andrews||Sales State Manager|1999-01-07|1979-01-06|alejandro0@contoso.com|668-555-0130|S|Lisa Andrews|668-555-0130|0|M|2|55.0|40|0|Production|1999-01-07||198
34|Jae|Pak|B.|Sales Store Manager|1999-01-08|1974-09-26|garrett0@contoso.com|609-555-0179|S|Wilson Pais|609-555-0179|0|M|2|25.0|40|0|Production|1999-01-08||15
35|Roy|Antebi||Sales Store Manager|1999-01-08|1973-08-27|jianshuo0@contoso.com|952-555-0178|S|Johnson Apacible|952-555-0178|0|M|1|25.0|38|0|Production|1999-01-08||156
36|Prithvi|Raj||Sales Store Manager|1999-01-08|1968-03-20|susan0@contoso.com|943-555-0196|S|Stuart Railson|943-555-0196|0|F|1|25.0|40|0|Shipping and Receiving|1999-01-08||185
37|Luca|Argentiero||Sales Store Manager|1999-01-08|1967-04-19|vamsi0@contoso.com|937-555-0137|M|NeKeta Argrow|937-555-0137|0|M|2|25.0|40|0|Shipping and Receiving|1999-01-08||72
38|Suriya|Sajjateerakool||Sales Store Manager|1999-01-08|1968-02-27|alice0@contoso.com|333-555-0173|M|Malvin Seale|333-555-0173|0|F|1|25.0|40|0|Production|1999-01-08||75
39|Zainal|Arifin||Sales Store Manager|1999-01-09|1980-06-17|simon0@contoso.com|963-555-0134|S|Ravital Artman|963-555-0134|0|M|1|25.0|40|0|Production|1999-01-09||85
40|Amy|Strande||Sales Store Manager|1999-01-09|1979-03-09|jinghao0@contoso.com|794-555-0159|S|Anne-Mette Stoltze|794-555-0159|0|M|2|25.0|40|0|Production|1999-01-09||275
41|Ties|Arts||Sales Store Manager|1999-01-10|1974-12-19|michael0@contoso.com|218-555-0126|S|Dimple Arya|218-555-0126|0|M|1|25.0|40|0|Production|1999-01-10||34
42|Daniel|Taylor|P.|Sales Store Manager|1999-01-10|1979-05-17|yvonne0@contoso.com|286-555-0189|M|Maurice Taylor|286-555-0189|0|F|1|25.0|40|0|Production|1999-01-10||232
43|Ronen|Ashkenazi||Sales Store Manager|1999-01-10|1966-04-19|peng0@contoso.com|164-555-0164|M|Roya Asbari|164-555-0164|1|M|2|25.0|40|0|Quality Assurance|1999-01-10||186
44|Hans-Walter|Untch||Sales Store Manager|1999-01-12|1966-01-13|jean0@contoso.com|685-555-0120|S|Sunil Uppal|685-555-0120|1|F|2|25.0|40|0|Information Services|1999-01-12||87
45|Chris|Ashton||Sales Store Manager|1999-01-13|1962-12-27|russell0@contoso.com|786-555-0144|M|Sameer Athalye|786-555-0144|0|M|1|25.0|40|0|Production|1999-01-13||259
46|Michael|Vanderhyde||Sales Store Manager|1999-01-13|1958-10-19|ascott0@contoso.com|992-555-0194|S|Esther Valle|992-555-0194|0|M|2|25.0|40|0|Production Control|1999-01-13||30
47|Vivian|Atlas||Sales Store Manager|1999-01-13|1979-07-27|fred0@contoso.com|818-555-0192|S|Kai Axford|818-555-0192|0|M|1|25.0|40|0|Production|1999-01-13||123
48|Robin|Wakefield||Sales Store Manager|1999-01-13|1977-06-21|sariya0@contoso.com|399-555-0176|S|Darren Waite|399-555-0176|0|M|2|25.0|40|0|Marketing|1999-01-13||298
49|Anahita|Bahrami||Sales Store Manager|1999-01-14|1968-08-18|willis0@contoso.com|778-555-0141|S|Josh Bailey|778-555-0141|0|M|2|25.0|40|0|Human Resources|1999-01-14||80
50|Pieter|Wycoff||Sales Store Manager|1999-01-15|1969-08-06|jun0@contoso.com|299-555-0113|S|David Wright|299-555-0113|0|M|1|25.0|40|0|Production|1999-01-15||258
51|Dev|Balasubramanian||Sales Store Manager|1999-01-15|1966-02-18|christian0@contoso.com|846-555-0157|M|Yossi Banai|846-555-0157|1|M|2|25.0|40|0|Facilities and Maintenance|1999-01-15||182
52|Steven|Wright|M.|Sales Store Manager|1999-01-15|1973-05-03|susan1@contoso.com|639-555-0164|S|Makoto Yamagishi|639-555-0164|0|F|1|25.0|40|0|Production|1999-01-15||33
54|Eiji|Yasuda||Sales Store Manager|1999-01-16|1975-03-10|kirk0@contoso.com|669-555-0150|S|Arthur Yasinski|669-555-0150|0|M|1|25.0|40|0|Production|1999-01-16||272
55|Ed|Banti||Sales Store Manager|1999-01-16|1975-01-30|david2@contoso.com|712-555-0119|M|Evan Basalik|712-555-0119|0|M|1|25.0|33|0|Production|1999-01-16||119
56|Mrina|Natarajan||Sales Store Manager|1999-01-17|1980-05-29|tengiz0@contoso.com|910-555-0116|S|Kirk J. Nason|910-555-0116|0|M|2|25.0|76|0|Document Control|1999-01-17||123
57|Dave|Barnett||Sales Store Manager|1999-01-17|1964-11-16|hanying0@contoso.com|319-555-0139|S|Josh Barnhill|319-555-0139|0|M|1|25.0|15|0|Production|1999-01-17||240
58|Manuel|Oliveira||Sales Store Manager|1999-01-18|1976-01-26|kevin1@contoso.com|714-555-0138|S|Neil Orint|714-555-0138|0|M|1|25.0|58|0|Production|1999-01-18||91
59|Adam|Barr||Sales Store Manager|1999-01-18|1967-01-27|annik0@contoso.com|499-555-0125|M|Chris Barry|499-555-0125|0|M|1|25.0|17|0|Production|1999-01-18||32
60|Rok|Palcic||Sales Store Manager|1999-01-18|1968-03-28|suroor0@contoso.com|932-555-0161|S|Ian Palangio|932-555-0161|0|M|1|25.0|93|0|Production|1999-01-18||96
61|Shai|Bassli||Sales Store Manager|1999-01-19|1966-04-07|deborah0@contoso.com|602-555-0194|M|Deborah Baumfeld|602-555-0194|0|F|2|25.0|60|0|Finance|1999-01-19||80
62|Yossi|Ran||Sales Store Manager|1999-01-20|1976-10-09|jim0@contoso.com|679-555-0113|M|Rajesh Ramanathan|679-555-0113|0|M|1|25.0|1|0|Production|1999-01-20||110
63|Shaun|Beasley||Sales Store Manager|1999-01-20|1973-11-19|carole0@contoso.com|688-555-0192|M|Mark Bebbington|688-555-0192|0|F|1|25.0|42|0|Production|1999-01-20||131
64|Karolina|Salas-Szlejter||Sales Store Manager|1999-01-22|1967-05-18|george0@contoso.com|518-555-0199|M|Tamer Salah|518-555-0199|0|M|1|25.0|26|0|Production|1999-01-22||138
65|Anna|Bedecs||Sales Store Manager|1999-01-23|1978-06-17|gary0@contoso.com|901-555-0125|S|Parry Bedi|901-555-0125|0|M|1|25.0|69|0|Production|1999-01-23||33
66|Oliver|Szimmetat||Sales Store Manager|1999-01-23|1974-05-13|cristian0@contoso.com|434-555-0133|M|Radoslaw Szymczak|434-555-0133|0|M|2|25.0|67|0|Production|1999-01-23||134
67|Ann|Beebe||Sales Store Manager|1999-01-24|1957-04-02|raymond0@contoso.com|226-555-0197|M|Kostadin Belishky|226-555-0197|0|M|1|25.0|10|0|Production|1999-01-24||84
68|Jeff|Teper||Sales Store Manager|1999-01-24|1975-03-03|janaina0@contoso.com|623-555-0155|M|Rakesh Tangirala|623-555-0155|1|F|2|25.0|71|0|Information Services|1999-01-24||146
69|Allie|Bellew||Sales Store Manager|1999-01-25|1969-09-16|bob0@contoso.com|611-555-0116|S|Almudena Benito|611-555-0116|0|M|1|25.0|12|0|Production|1999-01-25||154
70|Siri|Velauthapillai||Sales Store Manager|1999-01-25|1970-11-05|shammi0@contoso.com|793-555-0179|M|Garrett Vargas|793-555-0179|0|M|1|25.0|66|0|Production|1999-01-25||209
71|Nuno|Bento||Sales Store Manager|1999-01-26|1977-08-17|linda0@contoso.com|612-555-0171|M|Karen Berg|612-555-0171|0|F|1|25.0|96|0|Production|1999-01-26||234
72|Anne|Wallace||Sales Store Manager|1999-01-26|1974-12-22|mindy0@contoso.com|522-555-0147|M|Larry Waldman|522-555-0147|0|F|2|25.0|51|0|Human Resources|1999-01-26||196
73|Matt|Berg||Sales Store Manager|1999-01-26|1974-11-12|wendy0@contoso.com|248-555-0134|S|Martin Berka|248-555-0134|1|F|2|25.0|55|0|Finance|1999-01-26||199
74|John|Yokim||Sales Store Manager|1999-01-27|1974-06-01|kim0@contoso.com|309-555-0129|S|Norimichi Yonekura|309-555-0129|0|F|1|25.0|98|0|Shipping and Receiving|1999-01-27||187
75|Antonio|Bermejo||Sales Store Manager|1999-01-27|1965-12-06|sandra0@contoso.com|896-555-0168|M|Matthias Berndt|896-555-0168|0|F|1|25.0|37|0|Production|1999-01-27||242
76|Robert|Zare||Sales Store Manager|1999-01-28|1970-05-30|kok-ho0@contoso.com|999-555-0155|S|Amr Zaki|999-555-0155|0|M|2|25.0|78|0|Production|1999-01-28||283
77|Michael|Berroth||Sales Store Manager|1999-01-28|1975-12-26|douglas0@contoso.com|808-555-0172|M|Dana Birkby|808-555-0172|0|M|1|25.0|80|0|Production|1999-01-28||88
79|Jimmy|Bischoff||Sales Store Manager|1999-01-29|1966-04-07|sean0@contoso.com|420-555-0173|S|Scott Bishop|420-555-0173|0|M|2|25.0|82|0|Quality Assurance|1999-01-29||92
80|Michael|Neipper||Sales Store Manager|1999-01-29|1977-01-01|nitin0@contoso.com|143-555-0173|S|Jeremy Nelson|143-555-0173|0|M|1|25.0|21|0|Production|1999-01-29||43
81|Ari|Bixhorn||Sales Store Manager|1999-01-30|1976-07-06|diane1@contoso.com|815-555-0138|S|Neil Black|815-555-0138|1|F|2|25.0|62|0|Research and Development|1999-01-30||8
82|Paulo|Neves||Sales Store Manager|1999-01-30|1967-08-11|rebecca0@contoso.com|314-555-0113|M|Belinda Newman|314-555-0113|0|F|1|25.0|23|0|Production|1999-01-30||266
83|Rex|Bloesser||Sales Store Manager|1999-02-01|1967-11-05|rajesh0@contoso.com|373-555-0137|M|Nikhil Bobde|373-555-0137|0|M|1|25.0|48|0|Production|1999-02-01||223
84|Aaron|Nicholls||Sales Store Manager|1999-02-02|1974-09-02|vidur0@contoso.com|153-555-0186|S|Chad Niswonger|153-555-0186|0|M|2|25.0|50|0|Human Resources|1999-02-02||230
85|Tomasz|Bochenek||Sales Store Manager|1999-02-02|1968-07-01|john1@contoso.com|172-555-0130|S|Catherine Boeger|172-555-0130|0|M|1|25.0|91|0|Production|1999-02-02||261
86|Toby|Nixon||Sales Store Manager|1999-02-03|1978-12-21|nancy0@contoso.com|970-555-0118|M|Elly Nkya|970-555-0118|0|F|1|25.0|34|0|Production|1999-02-03||267
87|Corinna|Bolender||Sales Store Manager|1999-02-03|1962-10-11|pilar0@contoso.com|577-555-0185|S|Srikanth Bolisetty|577-555-0185|1|M|2|25.0|93|0|Shipping and Receiving|1999-02-03||124
88|Fabricio|Noriega||Sales Store Manager|1999-02-03|1971-09-04|david3@contoso.com|373-555-0142|S|Chris Norred|373-555-0142|0|M|1|25.0|32|0|Production|1999-02-03||305
89|Raffaella|Bonaldi||Sales Store Manager|1999-02-04|1973-08-02|david4@contoso.com|986-555-0177|S|Luis Bonifaz|986-555-0177|0|M|2|25.0|73|0|Production|1999-02-04||242
90|Jerry|Orman||Sales Store Manager|1999-02-04|1971-01-26|laura0@contoso.com|777-555-0141|S|Tad Orman|777-555-0141|0|F|1|25.0|75|0|Production|1999-02-04||307
91|Laurent|Bonnet||Sales Store Manager|1999-02-05|1976-06-20|margie0@contoso.com|818-555-0128|M|Randall Boseman|818-555-0128|0|F|1|25.0|18|0|Production|1999-02-05||196
92|Danni|Ortman||Sales Store Manager|1999-02-05|1966-03-02|zainal0@contoso.com|204-555-0115|M|Jon Orton|204-555-0115|0|M|2|25.0|77|0|Document Control|1999-02-05||95
93|Thomas|Bouchard||Sales Store Manager|1999-02-05|1978-12-28|lorraine0@contoso.com|845-555-0184|M|Eli Bowen|845-555-0184|0|F|1|25.0|49|0|Production|1999-02-05||112
94|Scott|Oveson||Sales Store Manager|1999-02-05|1979-03-19|fadi0@contoso.com|935-555-0116|S|Inna Ozhogina|935-555-0116|0|M|1|25.0|16|0|Production|1999-02-05||135
95|Marc|Boyer||Sales Store Manager|1999-02-06|1962-07-15|ryan0@contoso.com|208-555-0114|M|Jonas Brandel|208-555-0114|0|M|1|25.0|59|0|Production|1999-02-06||83
96|Tude|Palma||Sales Store Manager|1999-02-07|1966-03-26|candy0@contoso.com|920-555-0177|S|Prakash Paramasivam|920-555-0177|0|F|2|25.0|61|0|Finance|1999-02-07||24
97|Peter|Bankov||Sales Store Manager|1999-02-07|1969-04-29|nuan0@contoso.com|913-555-0184|S|Dushyant Bansal|913-555-0184|0|M|1|25.0|2|0|Production|1999-02-07||41
98|Dan|Park||Sales Store Manager|1999-02-08|1971-12-08|DanPark@contoso.com|148-555-0145|M|Darren Parker|148-555-0145|0|M|2|25.0|45|0|Production Control|1999-02-08|2001-10-01|61
99|Bryan|Bredehoeft||Sales Store Manager|1999-02-08|1971-12-08|BryanB@contoso.com|148-555-0145|M|Peter Brehm|148-555-0145|0|M|2|25.0|45|0|Production Control|2001-10-02||103
100|Rajesh|Patel|M.|Sales Store Manager|1999-02-08|1979-12-08|bjorn0@contoso.com|199-555-0117|S|Sanjay Patel|199-555-0117|0|M|1|25.0|43|0|Production|1999-02-08||50
101|Alan|Brewer||Sales Store Manager|1999-02-09|1977-03-13|scott0@contoso.com|391-555-0138|M|Markus Breyer|391-555-0138|0|M|1|25.0|86|0|Production|1999-02-09||267
102|Dorena|Paschke||Sales Store Manager|1999-02-11|1981-02-04|michael1@contoso.com|454-555-0119|S|Michael Patten|454-555-0119|0|M|1|25.0|70|0|Production|1999-02-11||291
103|Nick|Brigandi||Sales Store Manager|1999-02-12|1964-10-24|lane0@contoso.com|200-555-0117|M|David Bristol|200-555-0117|0|M|1|25.0|11|0|Production|1999-02-12||140
104|Leonids|Paturskis||Sales Store Manager|1999-02-12|1967-03-07|pete0@contoso.com|768-555-0123|S|Flemming Pedersen|768-555-0123|0|M|1|25.0|13|0|Production|1999-02-12||1
105|Allison|Brown||Sales Store Manager|1999-02-12|1971-07-28|dan0@contoso.com|166-555-0159|M|Jed Brown|166-555-0159|1|M|2|25.0|72|0|Information Services|1999-02-12||212
106|Yael|Peled||Sales Store Manager|1999-02-13|1954-07-23|david5@contoso.com|477-555-0132|S|Laurent Penisson|477-555-0132|0|M|2|25.0|56|0|Finance|1999-02-13||245
107|Robert|Brown||Sales Store Manager|1999-02-13|1963-02-25|lolan0@contoso.com|582-555-0178|M|Scott Brown|582-555-0178|0|M|1|25.0|7|0|Production|1999-02-13||308
108|Lori|Penor||Sales Store Manager|1999-02-13|1977-03-13|paula1@contoso.com|476-555-0119|M|Lionel Penuchot|476-555-0119|0|F|1|25.0|54|0|Production|1999-02-13||285
109|Daniel|Brunner||Sales Store Manager|1999-02-13|1952-10-14|mary0@contoso.com|531-555-0183|M|Chloe Brussard|531-555-0183|0|F|2|25.0|46|0|Marketing|1999-02-13||283
110|Michel|Pereira||Sales Store Manager|1999-02-14|1968-06-07|mindaugas0@contoso.com|637-555-0120|M|Tom Perham|637-555-0120|0|M|1|25.0|97|0|Production|1999-02-14||293
111|Chris|Bryant||Sales Store Manager|1999-02-15|1975-02-20|eric0@contoso.com|260-555-0119|M|Susan Burk|260-555-0119|0|M|2|25.0|40|0|Production|1999-02-15||209
112|Wirote|Petchdenlarp||Sales Store Manager|1999-02-15|1959-03-02|ken0@contoso.com|697-555-0142|S|Cristian Petculescu|697-555-0142|1|M|2|25.0|99|0|Executive|1999-02-15||276
113|Brian|Burke||Sales Store Manager|1999-02-15|1979-01-08|jason0@contoso.com|571-555-0179|S|Ovidiu Burlacu|571-555-0179|0|M|1|25.0|38|0|Production|1999-02-15||100
114|Palle|Petersen||Sales Store Manager|1999-02-16|1976-05-31|mark0@contoso.com|147-555-0179|S|Pierangela Pezzini|147-555-0179|0|M|2|25.0|83|0|Quality Assurance|1999-02-16||297
115|Tzipi|Butnaru||Sales Store Manager|1999-02-16|1962-08-25|janeth0@contoso.com|540-555-0191|S|Dennis Bye|540-555-0191|0|F|1|25.0|81|0|Production|1999-02-16||124
116|Terrence|Philip||Sales Store Manager|1999-02-17|1976-11-24|marc0@contoso.com|234-555-0169|M|Jeff Phillips|234-555-0169|0|M|1|25.0|22|0|Production|1999-02-17||110
117|Rick|Byham||Sales Store Manager|1999-02-17|1969-02-21|gigi0@contoso.com|185-555-0186|M|Randy Byrne|185-555-0186|1|F|2|25.0|63|0|Research and Development|1999-02-17||29
118|Michal|Piaseczny||Sales Store Manager|1999-02-18|1980-12-05|paul1@contoso.com|727-555-0112|M|Guido Pica|727-555-0112|0|M|1|25.0|6|0|Production|1999-02-18||194
119|Reina|Cabatana||Sales Store Manager|1999-02-18|1977-10-07|frank0@contoso.com|158-555-0191|M|Ryan Calafato|158-555-0191|0|M|1|25.0|56|0|Production|1999-02-18||19
120|Pilar|Pinilla||Sales Store Manager|1999-02-18|1965-06-17|françois0@contoso.com|785-555-0110|S|Armando Pinto|785-555-0110|1|M|2|25.0|67|0|Information Services|1999-02-18||264
121|Iulian|Calinov||Sales Store Manager|1999-02-19|1979-09-10|diane2@contoso.com|361-555-0180|S|Geert Camelbeke|361-555-0180|0|F|1|25.0|8|0|Production|1999-02-19||270
122|Tanja|Plate||Sales Store Manager|1999-02-19|1969-07-19|jill0@contoso.com|510-555-0121|M|Idan Plonsky|510-555-0121|0|F|2|25.0|47|0|Marketing|1999-02-19||83
123|Maria|Cameron||Sales Store Manager|1999-02-21|1981-07-01|angela0@contoso.com|150-555-0194|S|David Campbell|150-555-0194|0|F|1|25.0|92|0|Production|1999-02-21||147
124|Ekaterina|Podkolzina||Sales Store Manager|1999-02-21|1963-12-13|matthias0@contoso.com|139-555-0120|M|Toni Poe|139-555-0120|0|M|2|25.0|94|0|Shipping and Receiving|1999-02-21||231
125|Jamie|Campbell||Sales Store Manager|1999-02-22|1963-09-28|bryan0@contoso.com|712-555-0113|S|Fabrice Canel|712-555-0113|0|M|1|25.0|35|0|Production|1999-02-22||300
126|Grigory|Pogulsky||Sales Store Manager|1999-02-22|1967-02-16|jeff0@contoso.com|350-555-0167|M|Carole Poland|350-555-0167|0|M|2|25.0|74|0|Production|1999-02-22||42
127|Paul|Cannon||Sales Store Manager|1999-02-22|1977-08-15|eugene0@contoso.com|241-555-0191|S|Jon Cantrell|241-555-0191|0|M|1|25.0|33|0|Production|1999-02-22||155
128|Josh|Pollock||Sales Store Manager|1999-02-23|1969-08-02|barbara0@contoso.com|119-555-0192|M|Laura Steele Polly|119-555-0192|0|F|1|25.0|17|0|Production|1999-02-23||205
129|Cyril|Carbonati||Sales Store Manager|1999-02-23|1979-01-17|chris0@contoso.com|200-555-0112|M|Richard Carey|200-555-0112|0|M|1|25.0|76|0|Production|1999-02-23||188
130|Cristina|Potra||Sales Store Manager|1999-02-23|1977-04-12|sean1@contoso.com|205-555-0132|S|Houman Pournasseh|205-555-0132|0|M|2|25.0|78|0|Document Control|1999-02-23||57
131|Jason|Carlson||Sales Store Manager|1999-02-23|1966-02-06|dan1@contoso.com|653-555-0144|M|Ty Carlson|653-555-0144|1|M|2|25.0|66|0|Information Services|1999-02-23||185
132|Chris|Preston||Sales Store Manager|1999-02-24|1969-10-26|mark1@contoso.com|417-555-0154|S|Jeff Price|417-555-0154|0|M|1|25.0|19|0|Production|1999-02-24||52
133|Fernando|Caro||Sales Store Manager|1999-02-25|1974-10-22|bryan1@contoso.com|935-555-0199|S|Rob Caron|935-555-0199|0|M|2|25.0|62|0|Finance|1999-02-25||221
134|Vishwa|Ranjan||Sales Store Manager|1999-02-26|1961-09-30|houman0@contoso.com|180-555-0136|M|Markus Rankenburg|180-555-0136|0|M|1|25.0|3|0|Production|1999-02-26||182
135|Chase|Carpenter||Sales Store Manager|1999-02-27|1978-01-22|sairaj0@contoso.com|500-555-0159|M|Adam Carter|500-555-0159|0|M|2|25.0|46|0|Production Control|1999-02-27||185
136|Arvind|Rao|B.|Sales Store Manager|1999-02-27|1972-07-28|michiko0@contoso.com|984-555-0148|S|Rui Raposo|984-555-0148|0|M|1|25.0|44|0|Production|1999-02-27||262
137|Carlos|Carvallo||Sales Store Manager|1999-02-28|1976-02-06|benjamin0@contoso.com|533-555-0111|S|Rob Cason|533-555-0111|0|M|1|25.0|28|0|Production|1999-02-28||299
138|Morten|Rasmussen||Sales Store Manager|1999-02-28|1971-09-19|cynthia0@contoso.com|352-555-0138|S|Andrew Rath|352-555-0138|0|F|2|25.0|69|0|Production|1999-02-28||194
139|Gitte|Casparij||Sales Store Manager|1999-02-28|1980-12-02|kathie0@contoso.com|446-555-0118|M|Joao Casqueiro|446-555-0118|0|F|1|25.0|87|0|Production|1999-02-28||89
140|Mike|Ray||Sales Store Manager|1999-03-02|1979-10-30|britta0@contoso.com|955-555-0169|M|Rodrigo Ready|955-555-0169|0|F|1|25.0|14|0|Production|1999-03-02||1
141|Giorgio|Cavaglieri||Sales Store Manager|1999-03-02|1967-03-14|brian0@contoso.com|110-555-0182|S|Matt Cavallari|110-555-0182|0|M|1|25.0|55|0|Production|1999-03-02||52
142|April|Reagan||Sales Store Manager|1999-03-03|1973-08-08|david6@contoso.com|646-555-0185|M|Jamie Reding|646-555-0185|1|M|2|25.0|57|0|Finance|1999-03-03||201
